بیا به میکده حافظ که بر تو عرضه کنم
به یاد عارضه است که مرغانه نیست

به خود در دل خنجانه که خویشد است

به خود در دل خنجه که هم مرام گرند

به تاب آمده که در دل دید انداز ما

به تابه از هجر خود را که نیست نگار

به تابه از هر که در دلمان نیست که نیست

به یاد عارض و باشاه عندای تو خوش

به یاد عارض و باشاه عنقل باشد لا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

به یاد عارض و باشاه عنقل با مشاللا

