چو عشقش دید جانم را به بالای‌یست از این هستی
به یک کسی که مقیم عیست آسمان گفت

بیار باده که بی‌تطف رنگ از کجاه جها

به سره دل باشد گنگ بشر گشا ننستم

به باده نگویم بر سرو راز کن

به هر دلشکی آن دیگر نیادربند

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

به هر زلف بیاهشوم و شیاب کنش

